timestamp,price,volume,open,high,low,close,funding_rate,oracle_price
2025-04-13 16:49:29.223094,102.44121645181461,258.97102435931697,,102.7934810337031,102.40813571337692,102.44121645181461,0.0,102.44121645181461
2025-04-13 17:49:29.223094,102.0591781712883,700.135113779649,102.44121645181461,102.06657580179387,101.58860955003371,102.0591781712883,1.0416478287576809e-06,102.06130425036284
2025-04-13 18:49:29.223094,104.0094175198022,607.7702637011951,102.0591781712883,104.37778290493814,103.54643548665345,104.0094175198022,2.0831826325142815e-06,104.01374999166947
2025-04-13 19:49:29.223094,104.09401551701481,878.197087919709,104.0094175198022,104.3399945014305,103.81680455449852,104.09401551701481,3.1244913985326082e-06,104.10051715821548
2025-04-13 20:49:29.223094,107.22281719511105,1589.0147395654776,104.09401551701481,107.543336207583,107.21832712841484,107.22281719511105,4.165461138601909e-06,107.23174209176068
2025-04-13 21:49:29.223094,105.48662900521131,1743.4640747502385,107.22281719511105,106.00500621398024,105.4633693096218,105.48662900521131,5.2059789012977704e-06,105.49759733492795
2025-04-13 22:49:29.223094,107.7856558877485,1234.0226260584034,105.48662900521131,107.8802778480233,107.268475548826,107.7856558877485,6.24593178423802e-06,107.79909403565905
2025-04-13 23:49:29.223094,109.97190822328157,933.9194997804599,107.7856558877485,110.35493426546053,109.93801275632555,109.97190822328157,7.285206946333303e-06,109.98788900751666
2025-04-14 00:49:29.223094,110.76905838365498,1294.673764162549,109.97190822328157,111.07917828376209,110.7068469495471,110.76905838365498,8.323691620031026e-06,110.78743454206291
2025-04-14 01:49:29.223094,115.40111645658793,424.6046152207148,110.76905838365498,115.60072536911653,115.04450748859794,115.40111645658793,9.36127312355129e-06,115.42262760514548
2025-04-14 02:49:29.223094,113.49432447647656,1458.5587890353029,115.40111645658793,113.88485978450923,113.41473427405504,113.49432447647656,1.0397838873113554e-05,113.51779845761929
2025-04-14 03:49:29.223094,115.5304722952408,1048.2334640070937,113.49432447647656,115.60260996267216,115.11557048090238,115.5304722952408,1.1433276395152636e-05,115.55671689695771
2025-04-14 04:49:29.223094,118.14757865475462,1531.9508009548497,115.5304722952408,118.60446202094596,117.88622398124468,118.14757865475462,1.246747333852277e-05,118.17680883349016
2025-04-14 05:49:29.223094,121.52965920340999,776.0950086554881,118.14757865475462,121.88109057486716,121.52798494027229,121.52965920340999,1.3500317486688369e-05,121.56217257836667
2025-04-14 06:49:29.223094,125.11622909415311,1415.167914736248,121.52965920340999,125.26438186045485,124.56522287763723,125.11622909415311,1.4531696769900197e-05,125.15220612824326
2025-04-14 07:49:29.223094,128.74698490940278,1533.2975607090225,125.11622909415311,128.9971950561141,128.46011240307308,128.74698490940278,1.5561499277355603e-05,128.78656669120005
2025-04-14 08:49:29.223094,130.43163565101435,1784.522157138554,128.74698490940278,130.51568790144503,130.28713444936136,130.43163565101435,1.6589613269341502e-05,130.4743121904938
2025-04-14 09:49:29.223094,129.49214470053582,940.3261553890435,130.43163565101435,129.6762128970303,129.13125819867986,129.49214470053582,1.7615927189358812e-05,129.53705372524493
2025-04-14 10:49:29.223094,132.93596376786664,1086.5494869177326,129.49214470053582,133.25804263858643,132.38695513257974,132.93596376786664,1.864032967622699e-05,132.9846545595224
2025-04-14 11:49:29.223094,135.0949006272622,1384.9505056202108,132.93596376786664,135.4143106396908,134.6826753756398,135.0949006272622,1.9662709576167388e-05,135.14699014333485
2025-04-14 12:49:29.223094,141.44628257550775,1908.6053713359443,135.0949006272622,141.6690761715978,141.42559270335232,141.44628257550775,2.0682955954864102e-05,141.50352794602765
2025-04-14 13:49:29.223094,148.16366945381893,1162.2573981812336,141.44628257550775,148.5715569097194,147.42857748024917,148.16366945381893,2.1700958109501017e-05,148.2264428827467
2025-04-14 14:49:29.223094,155.0140717424742,1588.0903201122578,148.16366945381893,155.76556458850774,154.57536246694679,155.0140717424742,2.271660558077369e-05,155.08265834946008
2025-04-14 15:49:29.223094,162.0809442523206,1362.152235983346,155.0140717424742,162.12568872898254,161.69208214791362,162.0809442523206,2.3729788164874873e-05,162.1556700270087
2025-04-14 16:49:29.223094,171.98076179467893,1256.129780048523,162.0809442523206,172.1888040392006,171.50889491220605,171.98076179467893,2.4740395925452295e-05,172.0632137640319
2025-04-14 17:49:29.223094,184.14222399905302,1948.362603019977,171.98076179467893,184.7638093137203,183.33066469816725,184.14222399905302,2.5748319205537353e-05,184.23385374937294
